geonameid;name;asciiname;latitude;longitude;feature code;country code;admin1 code;admin2 code;population;modification date
6453368;Aurskog-Høland;Aurskog-Holand;59.88321;11.56491;ADM2;NO;01;0221;14158;2010-12-07
6453369;Notodden;Notodden;59.55992;9.26046;ADM2;NO;17;0807;12313;2010-12-07
6453370;Suldal;Suldal;59.48571;6.25222;ADM2;NO;14;1134;3833;2014-09-09
6453371;Vindafjord;Vindafjord;59.60543;5.80784;ADM2;NO;14;1160;8161;2010-12-07
6453372;Drammen;Drammen;59.74536;10.20597;ADM2;NO;04;0602;61405;2014-07-10
6453373;Kongsberg;Kongsberg;59.66516;9.64653;ADM2;NO;04;0604;24381;2010-12-07
6453374;Haugesund;Haugesund;59.41015;5.27551;ADM2;NO;14;1106;33665;2014-07-10
6453375;Karmøy;Karmoy;59.28079;5.30529;ADM2;NO;14;1149;39354;2014-07-10
6453376;Tokke;Tokke;59.44569;8.01388;ADM2;NO;17;0833;2363;2014-06-08
6453377;Svelvik;Svelvik;59.60677;10.40225;ADM2;NO;20;0711;6459;2014-07-10
6453378;Sande;Sande;59.59362;10.20757;ADM2;NO;20;0713;8214;2014-07-10
6453379;Hof;Hof;59.52865;10.08942;ADM2;NO;20;0714;3058;2014-07-10
6453380;Marker;Marker;59.47952;11.65917;ADM2;NO;13;0119;3455;2010-12-07
6453381;Bø;Bo;59.41281;9.06618;ADM2;NO;17;0821;5518;2010-12-07
6453382;Holmestrand;Holmestrand;59.48976;10.31515;ADM2;NO;20;0702;9964;2014-07-10
6453383;Skien;Skien;59.20748;9.61052;ADM2;NO;17;0806;51359;2014-07-10
6453384;Moss;Moss;59.43436;10.65968;ADM2;NO;13;0104;29588;2014-07-10
6453385;Våler;Valer;59.4887;10.86551;ADM2;NO;13;0137;4437;2010-12-07
6453386;Lardal;Lardal;59.40243;9.95918;ADM2;NO;20;0728;2379;2010-12-07
6453387;Nome;Nome;59.28136;9.25678;ADM2;NO;17;0819;6557;2010-12-07
6453388;Sarpsborg;Sarpsborg;59.28148;11.11167;ADM2;NO;13;0105;51723;2014-07-10
6453389;Tønsberg;Tonsberg;59.27114;10.40939;ADM2;NO;20;0704;38914;2016-12-30
6453390;Larvik;Larvik;59.05234;10.02701;ADM2;NO;20;0709;42124;2014-07-11
6453391;Stavanger;Stavanger;58.96941;5.72856;ADM2;NO;14;1103;121610;2010-12-07
6453392;Fredrikstad;Fredrikstad;59.21759;10.93787;ADM2;NO;13;0106;72760;2010-12-07
6453393;Sandnes;Sandnes;58.8476;5.72855;ADM2;NO;14;1102;63431;2010-12-07
6453394;Porsgrunn;Porsgrunn;59.1419;9.6568;ADM2;NO;17;0805;34377;2014-07-10
6453395;Halden;Halden;59.12258;11.38709;ADM2;NO;13;0101;28389;2012-01-20
6453396;Sandefjord;Sandefjord;59.12881;10.21971;ADM2;NO;20;0710;42654;2017-09-20
6453397;Risør;Risor;58.71858;9.21205;ADM2;NO;02;0901;6889;2014-07-10
6453398;Flekkefjord;Flekkefjord;58.29791;6.66345;ADM2;NO;19;1004;8975;2014-07-10
6453399;Arendal;Arendal;58.46039;8.76501;ADM2;NO;02;0906;41241;2014-07-10
6453400;Marnardal;Marnardal;58.19802;7.52802;ADM2;NO;19;1021;2223;2010-12-07
6453401;Grimstad;Grimstad;58.34623;8.59703;ADM2;NO;02;0904;20111;2014-07-11
6453402;Songdalen;Songdalen;58.15273;7.83677;ADM2;NO;19;1017;5804;2010-12-07
6453403;Farsund;Farsund;58.09538;6.80403;ADM2;NO;19;1003;9427;2010-12-07
6453404;Lindesnes;Lindesnes;58.08435;7.30162;ADM2;NO;19;1029;4620;2010-12-07
6453405;Kristiansand;Kristiansand;58.14642;7.99687;ADM2;NO;19;1001;80109;2014-07-10
6453406;Mandal;Mandal;58.02633;7.45014;ADM2;NO;19;1002;14543;2014-07-10
